Incident_ID,Incident_Type,System_Impacted,Department,Location,Priority,Reported_Timestamp,Resolved_Timestamp,Resolution_Time_Hours,Status
INC-2025-0026,Unpatched Server,Workday HRMS,Marketing,Remote Branch,High,03-03-2025 18:15,03-03-2025 19:13,0.97,Closed
INC-2025-0027,Unpatched Server,Salesforce CRM,Engineering,Cloud Instance,Medium,03-05-2025 08:25,04-05-2025 09:18,24.89,Closed
INC-2025-0028,Weak Password Policy Violation,AWS Cloud Infrastructure,Finance,Data Center B,Medium,21-02-2025 02:34,21-02-2025 09:58,7.4,Closed
INC-2025-0029,Unpatched Server,Salesforce CRM,,Remote Branch,Medium,06-10-2025 22:19,11-10-2025 06:58,104.66,Closed
INC-2025-0030,Unauthorized Access Attempt,Internal Database,Engineering,Data Center A,Critical,16-05-2025 03:56,16-05-2025 23:16,19.34,Closed
INC-2025-0031,Stale User Account Active,Internal Database,HR,Cloud Instance,High,16-09-2025 15:16,18-09-2025 12:11,44.92,Resolved
INC-2025-0032,Backup Failure,Salesforce CRM,,Data Center A,Medium,23-11-2025 08:10,24-11-2025 03:25,19.25,Closed
INC-2025-0033,Weak Password Policy Violation,Active Directory,Marketing,Head Office,Medium,09-07-2025 18:35,09-07-2025 21:51,3.27,Closed
INC-2025-0034,Failed Patch Deployment,SAP ERP,Legal,Data Center A,High,16-12-2025 07:42,17-12-2025 20:03,36.35,Closed
INC-2025-0035,Backup Failure,Active Directory,HR,Data Center A,Medium,01-04-2025 13:01,04-04-2025 03:01,62,Closed
INC-2025-0036,Unpatched Server,Workday HRMS,Marketing,Cloud Instance,Medium,23-03-2025 22:06,23-03-2025 23:03,0.95,Closed
INC-2025-0037,Backup Failure,Salesforce CRM,Engineering,Data Center A,Low,25-04-2025 00:42,25-04-2025 10:15,9.55,Closed
INC-2025-0038,Data Leakage Alert,Office 365,Marketing,Data Center B,High,19-06-2025 00:07,19-06-2025 07:23,7.27,Resolved
INC-2025-0039,Failed Patch Deployment,AWS Cloud Infrastructure,Sales,Cloud Instance,Critical,12-08-2025 19:32,15-08-2025 02:40,55.14,Closed
INC-2025-0040,Weak Password Policy Violation,Workday HRMS,Sales,Data Center A,Medium,06-07-2025 13:04,09-07-2025 01:55,60.85,Resolved
INC-2025-0041,Failed Patch Deployment,Office 365,Engineering,Remote Branch,Medium,17-06-2025 12:44,17-06-2025 16:00,3.27,Closed
INC-2025-0042,Weak Password Policy Violation,Office 365,HR,Cloud Instance,Medium,27-07-2025 17:53,28-07-2025 02:00,8.12,Closed
INC-2025-0043,Data Leakage Alert,AWS Cloud Infrastructure,Operations,Data Center A,Critical,19-09-2025 15:50,21-09-2025 05:59,38.15,Resolved
INC-2025-0044,Failed Patch Deployment,Office 365,Marketing,Head Office,High,01-05-2025 21:19,02-05-2025 02:38,5.33,Closed
INC-2025-0045,Unauthorized Access Attempt,Workday HRMS,Legal,Remote Branch,High,01-08-2025 20:36,03-08-2025 01:12,28.61,Closed
INC-2025-0046,Backup Failure,Workday HRMS,Finance,Head Office,Medium,06-08-2025 07:11,07-08-2025 11:45,28.57,Resolved
INC-2025-0047,Unpatched Server,AWS Cloud Infrastructure,Finance,Remote Branch,High,08-12-2025 16:35,11-12-2025 16:30,71.92,Closed
INC-2025-0048,Backup Failure,AWS Cloud Infrastructure,Sales,Data Center B,High,17-08-2025 05:47,17-08-2025 20:08,14.35,Resolved
INC-2025-0049,Data Leakage Alert,Office 365,Legal,Data Center A,Critical,21-05-2025 14:04,21-05-2025 20:28,6.41,Closed
INC-2025-0050,Data Leakage Alert,Active Directory,HR,Data Center A,High,20-04-2025 02:26,20-04-2025 21:12,18.77,Closed
INC-2025-0051,Stale User Account Active,Office 365,Legal,Head Office,Medium,22-10-2025 12:30,22-10-2025 22:54,10.4,Closed
INC-2025-0052,Stale User Account Active,Office 365,Operations,Data Center B,High,05-11-2025 07:31,05-11-2025 21:15,13.74,Closed
INC-2025-0053,Unpatched Server,Internal Database,,Remote Branch,Medium,07-03-2025 19:34,08-03-2025 07:35,12.02,Closed
INC-2025-0054,Data Leakage Alert,Workday HRMS,HR,Data Center A,Critical,26-01-2025 08:24,26-01-2025 22:57,14.55,Closed
INC-2025-0055,Failed Patch Deployment,AWS Cloud Infrastructure,Legal,Head Office,Critical,29-08-2025 00:47,07-09-2025 07:47,223,Closed
INC-2025-0056,Backup Failure,SAP ERP,Marketing,Head Office,Critical,07-05-2025 06:53,07-05-2025 10:51,3.97,Closed
INC-2025-0057,Stale User Account Active,AWS Cloud Infrastructure,HR,Cloud Instance,Critical,08-07-2025 05:38,09-07-2025 14:42,33.07,Closed
INC-2025-0058,Unauthorized Access Attempt,Office 365,Finance,Cloud Instance,Critical,22-10-2025 21:58,,,Open
INC-2025-0059,Stale User Account Active,Workday HRMS,Marketing,Data Center A,Low,22-02-2025 22:49,24-02-2025 02:29,27.67,Closed
INC-2025-0060,Weak Password Policy Violation,Salesforce CRM,Finance,Remote Branch,Low,05-12-2025 11:04,05-12-2025 21:05,10.02,Closed
INC-2025-0061,Backup Failure,Internal Database,Engineering,Remote Branch,Medium,20-03-2025 13:11,23-03-2025 21:57,80.78,Closed
INC-2025-0062,Data Leakage Alert,AWS Cloud Infrastructure,Operations,Data Center B,Critical,18-05-2025 10:54,21-05-2025 04:21,65.46,Closed
INC-2025-0063,Stale User Account Active,Office 365,Sales,Remote Branch,Medium,22-06-2025 00:31,22-06-2025 05:20,4.82,Resolved
INC-2025-0064,Failed Patch Deployment,Internal Database,Sales,Data Center B,Medium,06-01-2025 16:12,07-01-2025 22:45,30.56,Closed
INC-2025-0065,Data Leakage Alert,Internal Database,Marketing,Remote Branch,Critical,09-01-2025 02:18,10-01-2025 06:33,28.25,Closed
INC-2025-0066,Data Leakage Alert,Salesforce CRM,Sales,Data Center B,Critical,19-06-2025 11:44,19-06-2025 20:31,8.79,Closed
INC-2025-0067,Backup Failure,Office 365,Marketing,Data Center A,Low,09-04-2025 06:47,10-04-2025 13:44,30.95,Closed
INC-2025-0068,Unpatched Server,Workday HRMS,Finance,Cloud Instance,High,27-04-2025 11:11,28-04-2025 16:44,29.55,Closed
INC-2025-0069,Unpatched Server,Internal Database,Engineering,Remote Branch,Medium,22-02-2025 00:36,22-02-2025 16:13,15.63,Closed
INC-2025-0070,Unauthorized Access Attempt,AWS Cloud Infrastructure,Legal,Head Office,Critical,25-07-2025 15:04,26-07-2025 18:54,27.84,Closed
INC-2025-0071,Unauthorized Access Attempt,Active Directory,Finance,Data Center B,High,02-08-2025 19:38,03-08-2025 01:46,6.14,Resolved
INC-2025-0072,Data Leakage Alert,Office 365,Legal,Cloud Instance,Medium,19-10-2025 19:03,21-10-2025 03:23,32.34,Closed
INC-2025-0073,Unpatched Server,SAP ERP,Marketing,Data Center A,High,30-03-2025 17:04,31-03-2025 05:40,12.6,Closed
INC-2025-0074,Failed Patch Deployment,Internal Database,Engineering,Remote Branch,Medium,06-02-2025 21:14,08-02-2025 10:26,37.21,Resolved
INC-2025-0075,Weak Password Policy Violation,SAP ERP,Operations,Data Center A,Critical,28-11-2025 04:58,28-11-2025 08:38,3.68,Closed
INC-2025-0076,Failed Patch Deployment,Office 365,Legal,Remote Branch,Medium,05-03-2025 14:44,06-03-2025 03:05,12.36,Closed
INC-2025-0077,Data Leakage Alert,SAP ERP,Sales,Cloud Instance,High,06-11-2025 08:01,09-11-2025 14:26,78.43,Closed
INC-2025-0078,Backup Failure,Internal Database,Legal,Cloud Instance,Medium,23-10-2025 01:48,23-10-2025 17:03,15.26,Resolved
INC-2025-0079,Stale User Account Active,AWS Cloud Infrastructure,Sales,Remote Branch,Critical,16-02-2025 15:22,17-02-2025 00:39,9.29,Closed
INC-2025-0080,Stale User Account Active,Salesforce CRM,Operations,Remote Branch,High,09-10-2025 01:29,09-10-2025 08:27,6.98,Closed
INC-2025-0081,Stale User Account Active,SAP ERP,Legal,Data Center B,High,25-08-2025 13:03,25-08-2025 23:49,10.78,Closed
INC-2025-0082,Weak Password Policy Violation,Salesforce CRM,HR,Data Center A,Low,28-05-2025 14:56,28-05-2025 18:02,3.11,Closed
INC-2025-0083,Weak Password Policy Violation,Salesforce CRM,HR,Head Office,High,10-10-2025 13:05,12-10-2025 09:16,44.19,Closed
INC-2025-0084,Stale User Account Active,AWS Cloud Infrastructure,HR,Cloud Instance,High,18-09-2025 22:17,19-09-2025 14:05,15.81,Closed
INC-2025-0085,Weak Password Policy Violation,Office 365,HR,Data Center A,Low,05-02-2025 08:49,05-02-2025 21:41,12.87,Resolved
INC-2025-0086,Failed Patch Deployment,Internal Database,Engineering,Data Center B,Medium,24-10-2025 21:31,25-10-2025 11:43,14.2,Resolved
INC-2025-0087,Failed Patch Deployment,AWS Cloud Infrastructure,Operations,Data Center A,High,24-12-2025 07:36,26-12-2025 06:06,46.51,Closed
INC-2025-0088,Data Leakage Alert,AWS Cloud Infrastructure,Legal,Data Center A,High,11-09-2025 01:08,11-09-2025 22:32,21.41,Closed
INC-2025-0089,Unauthorized Access Attempt,AWS Cloud Infrastructure,Sales,Data Center A,Critical,29-07-2025 20:09,31-07-2025 08:39,36.51,Closed
INC-2025-0090,Failed Patch Deployment,Workday HRMS,Finance,Data Center B,Low,14-07-2025 10:40,15-07-2025 20:51,34.19,Closed
INC-2025-0091,Failed Patch Deployment,Internal Database,Marketing,Data Center A,High,16-02-2025 13:06,17-02-2025 18:18,29.21,Resolved
INC-2025-0092,Failed Patch Deployment,SAP ERP,Finance,Head Office,High,31-05-2025 11:23,31-05-2025 18:06,6.72,Closed
INC-2025-0093,Weak Password Policy Violation,SAP ERP,HR,Remote Branch,Critical,14-11-2025 21:15,15-11-2025 18:15,21,Closed
INC-2025-0094,Backup Failure,SAP ERP,Marketing,Remote Branch,Critical,28-05-2025 21:34,29-05-2025 11:33,13.99,Closed
INC-2025-0095,Failed Patch Deployment,Internal Database,Operations,Remote Branch,Medium,04-06-2025 06:24,04-06-2025 09:06,2.71,Resolved
INC-2025-0096,Unauthorized Access Attempt,Salesforce CRM,Marketing,Remote Branch,Medium,21-05-2025 00:36,22-05-2025 12:45,36.16,Resolved
INC-2025-0097,Backup Failure,Salesforce CRM,Legal,Data Center A,Medium,07-11-2025 11:14,08-11-2025 10:30,23.28,Closed
INC-2025-0098,Stale User Account Active,Active Directory,Legal,Head Office,Medium,18-11-2025 20:02,19-11-2025 09:59,13.95,Closed
INC-2025-0099,Stale User Account Active,Salesforce CRM,Engineering,Remote Branch,Medium,31-03-2025 06:08,02-04-2025 08:19,50.19,Resolved
INC-2025-0100,Backup Failure,Salesforce CRM,HR,Remote Branch,Low,01-06-2025 23:55,02-06-2025 02:51,2.94,Closed
INC-2025-0101,Stale User Account Active,Internal Database,Legal,Remote Branch,Medium,13-10-2025 11:05,13-10-2025 11:35,0.5,Resolved
INC-2025-0102,Weak Password Policy Violation,Salesforce CRM,Marketing,Remote Branch,Medium,23-11-2025 11:06,24-11-2025 02:24,15.3,Closed
INC-2025-0103,Stale User Account Active,Active Directory,Sales,Head Office,High,22-11-2025 14:58,23-11-2025 16:06,25.14,Closed
INC-2025-0104,Unauthorized Access Attempt,SAP ERP,Operations,Data Center A,High,03-10-2025 04:24,04-10-2025 07:02,26.64,Closed
INC-2025-0105,Unpatched Server,Internal Database,Marketing,Remote Branch,Low,02-12-2025 03:53,02-12-2025 16:28,12.59,Closed
INC-2025-0106,Unpatched Server,AWS Cloud Infrastructure,Operations,Cloud Instance,Critical,20-02-2025 21:23,24-02-2025 16:48,91.43,Closed
INC-2025-0107,Backup Failure,Workday HRMS,Finance,Remote Branch,High,16-02-2025 21:13,17-02-2025 19:02,21.82,Closed
INC-2025-0108,Weak Password Policy Violation,Workday HRMS,HR,Data Center A,Medium,05-02-2025 17:13,07-02-2025 09:28,40.25,Closed
INC-2025-0109,Failed Patch Deployment,SAP ERP,Sales,Data Center A,High,08-03-2025 17:16,08-03-2025 20:03,2.79,Resolved
INC-2025-0110,Weak Password Policy Violation,Active Directory,Legal,Cloud Instance,Medium,09-01-2025 05:16,10-01-2025 13:45,32.49,Closed
INC-2025-0111,Weak Password Policy Violation,Salesforce CRM,Legal,Data Center B,Medium,25-02-2025 14:32,26-02-2025 13:26,22.91,Closed
INC-2025-0112,Stale User Account Active,AWS Cloud Infrastructure,Engineering,Head Office,High,01-02-2025 15:54,02-02-2025 19:42,27.81,Closed
INC-2025-0113,Weak Password Policy Violation,Salesforce CRM,Finance,Data Center A,Medium,03-02-2025 04:17,04-02-2025 01:24,21.13,Closed
INC-2025-0114,Weak Password Policy Violation,AWS Cloud Infrastructure,Engineering,Data Center B,High,09-08-2025 03:50,11-08-2025 01:48,45.98,Closed
INC-2025-0115,Data Leakage Alert,AWS Cloud Infrastructure,HR,Data Center A,Critical,31-07-2025 10:52,31-07-2025 23:46,12.91,Closed
INC-2025-0116,Stale User Account Active,Active Directory,Engineering,Remote Branch,Medium,04-02-2025 02:53,04-02-2025 16:27,13.57,Closed
INC-2025-0117,Weak Password Policy Violation,Office 365,Finance,Data Center B,Low,18-06-2025 21:07,20-06-2025 22:45,49.64,Closed
INC-2025-0118,Weak Password Policy Violation,Salesforce CRM,Finance,Cloud Instance,Medium,30-06-2025 03:36,30-06-2025 07:37,4.03,Closed
INC-2025-0119,Unauthorized Access Attempt,Salesforce CRM,Sales,Cloud Instance,High,21-10-2025 07:51,22-10-2025 03:36,19.76,Closed
INC-2025-0120,Weak Password Policy Violation,SAP ERP,,Cloud Instance,Critical,15-01-2025 05:17,15-01-2025 14:09,8.87,Closed
INC-2025-0121,Data Leakage Alert,Internal Database,Sales,Head Office,Critical,14-03-2025 23:40,,,Open
INC-2025-0122,Unpatched Server,Salesforce CRM,Operations,Cloud Instance,High,09-06-2025 23:20,10-06-2025 19:27,20.12,Resolved
INC-2025-0123,Stale User Account Active,SAP ERP,Sales,Head Office,High,20-05-2025 14:42,21-05-2025 13:07,22.42,Closed
INC-2025-0124,Unauthorized Access Attempt,AWS Cloud Infrastructure,Engineering,Cloud Instance,Critical,14-12-2025 21:37,16-12-2025 00:01,26.4,Closed
INC-2025-0125,Failed Patch Deployment,Active Directory,Finance,Data Center A,Medium,12-03-2025 08:18,12-03-2025 08:48,0.5,Closed
INC-2025-0126,Weak Password Policy Violation,Active Directory,Marketing,Data Center B,Medium,09-12-2025 11:04,10-12-2025 19:35,32.52,Closed
INC-2025-0127,Data Leakage Alert,Office 365,Engineering,Data Center B,Critical,27-07-2025 22:40,28-07-2025 01:36,2.94,Closed
INC-2025-0128,Backup Failure,AWS Cloud Infrastructure,Sales,Cloud Instance,High,15-02-2025 13:54,16-02-2025 03:37,13.73,Closed
INC-2025-0129,Unpatched Server,Salesforce CRM,Marketing,Cloud Instance,High,28-03-2025 02:32,28-03-2025 20:41,18.15,Closed
INC-2025-0130,Backup Failure,Internal Database,Legal,Data Center A,High,01-05-2025 03:09,01-05-2025 07:43,4.57,Closed
INC-2025-0131,Data Leakage Alert,Internal Database,Legal,Remote Branch,High,16-10-2025 18:28,18-10-2025 21:46,51.3,Closed
INC-2025-0132,Unpatched Server,Salesforce CRM,Marketing,Remote Branch,Medium,04-02-2025 15:28,06-02-2025 05:39,38.19,Closed
INC-2025-0133,Unauthorized Access Attempt,AWS Cloud Infrastructure,Operations,Head Office,Critical,08-07-2025 09:04,12-07-2025 03:59,90.92,Closed
INC-2025-0134,Backup Failure,Office 365,Sales,Head Office,Medium,19-08-2025 18:41,20-08-2025 16:58,22.29,Closed
INC-2025-0135,Failed Patch Deployment,Workday HRMS,Legal,Head Office,Low,16-09-2025 20:11,18-09-2025 01:41,29.51,Closed
INC-2025-0136,Failed Patch Deployment,Salesforce CRM,Engineering,Remote Branch,Medium,29-07-2025 10:43,31-07-2025 00:05,37.37,Closed
INC-2025-0137,Failed Patch Deployment,AWS Cloud Infrastructure,Marketing,Cloud Instance,High,03-12-2025 19:55,03-12-2025 21:57,2.04,Closed
INC-2025-0138,Stale User Account Active,Internal Database,Marketing,Remote Branch,Medium,08-03-2025 19:45,09-03-2025 04:38,8.89,Resolved
INC-2025-0139,Backup Failure,Internal Database,Marketing,Data Center B,Medium,17-02-2025 20:42,18-02-2025 07:28,10.78,Closed
INC-2025-0140,Unpatched Server,AWS Cloud Infrastructure,Legal,Data Center A,High,12-03-2025 04:04,13-03-2025 17:18,37.24,Closed
INC-2025-0141,Stale User Account Active,SAP ERP,Sales,Cloud Instance,High,13-11-2025 04:38,13-11-2025 08:53,4.25,Closed
INC-2025-0142,Data Leakage Alert,Internal Database,HR,Head Office,High,30-07-2025 11:43,02-08-2025 23:32,83.83,Closed
INC-2025-0143,Unpatched Server,Office 365,HR,Cloud Instance,Medium,29-08-2025 06:23,30-08-2025 02:39,20.28,Closed
INC-2025-0144,Data Leakage Alert,Office 365,Sales,Data Center A,High,13-04-2025 19:08,13-04-2025 20:25,1.29,Resolved
INC-2025-0145,Weak Password Policy Violation,Workday HRMS,Marketing,Head Office,Medium,26-05-2025 02:48,26-05-2025 17:07,14.32,Closed
INC-2025-0146,Data Leakage Alert,Workday HRMS,HR,Cloud Instance,Critical,14-01-2025 13:03,15-01-2025 00:17,11.24,Closed
INC-2025-0147,Backup Failure,SAP ERP,Engineering,Cloud Instance,High,16-03-2025 04:02,17-03-2025 22:31,42.49,Closed
INC-2025-0148,Unauthorized Access Attempt,Office 365,Operations,Head Office,High,10-01-2025 08:13,11-01-2025 03:19,19.1,Resolved
INC-2025-0149,Failed Patch Deployment,Active Directory,Engineering,Head Office,High,25-01-2025 07:26,26-01-2025 06:50,23.4,Closed
INC-2025-0150,Stale User Account Active,SAP ERP,Sales,Data Center B,High,22-10-2025 07:45,22-10-2025 21:12,13.46,Closed
INC-2025-0151,Unauthorized Access Attempt,Internal Database,,Data Center B,High,04-07-2025 02:33,05-07-2025 15:36,37.05,Closed
INC-2025-0152,Data Leakage Alert,Internal Database,Finance,Cloud Instance,Critical,10-05-2025 23:01,11-05-2025 00:41,1.68,Closed
INC-2025-0153,Backup Failure,Internal Database,Sales,Cloud Instance,High,10-03-2025 01:22,11-03-2025 17:40,40.3,Closed
INC-2025-0154,Stale User Account Active,AWS Cloud Infrastructure,Marketing,Data Center A,Critical,11-03-2025 02:45,11-03-2025 17:26,14.69,Resolved
INC-2025-0155,Failed Patch Deployment,Salesforce CRM,Finance,Data Center B,High,23-07-2025 17:30,25-07-2025 03:05,33.59,Closed
INC-2025-0156,Failed Patch Deployment,Internal Database,Legal,Cloud Instance,Low,05-03-2025 11:27,06-03-2025 20:05,32.64,Resolved
INC-2025-0157,Data Leakage Alert,Internal Database,Operations,Cloud Instance,High,23-09-2025 08:51,23-09-2025 22:06,13.26,Closed
INC-2025-0158,Unauthorized Access Attempt,Salesforce CRM,Engineering,Head Office,High,17-06-2025 21:18,18-06-2025 19:27,22.15,Closed
INC-2025-0159,Backup Failure,Internal Database,Finance,Cloud Instance,High,11-11-2025 13:17,13-11-2025 02:54,37.63,Closed
INC-2025-0160,Stale User Account Active,Workday HRMS,Sales,Data Center A,High,16-01-2025 04:54,17-01-2025 17:22,36.48,Closed
INC-2025-0161,Data Leakage Alert,Salesforce CRM,Engineering,Data Center B,Critical,17-01-2025 19:09,20-01-2025 18:29,71.34,Closed
INC-2025-0162,Data Leakage Alert,Salesforce CRM,Sales,Cloud Instance,Critical,29-11-2025 08:15,,,Open
INC-2025-0163,Failed Patch Deployment,SAP ERP,Sales,Cloud Instance,Critical,27-12-2025 14:13,,,Open
INC-2025-0164,Backup Failure,Active Directory,Finance,Head Office,Low,20-08-2025 05:57,26-08-2025 03:34,141.62,Closed
INC-2025-0165,Stale User Account Active,Salesforce CRM,Marketing,Head Office,Medium,09-10-2025 17:18,11-10-2025 15:03,45.75,Resolved
INC-2025-0166,Weak Password Policy Violation,Salesforce CRM,Legal,Data Center A,High,04-03-2025 06:50,05-03-2025 20:20,37.5,Closed
INC-2025-0167,Unpatched Server,Office 365,Legal,Data Center B,Medium,14-02-2025 02:19,15-02-2025 08:36,30.29,Closed
INC-2025-0168,Unpatched Server,SAP ERP,Sales,Cloud Instance,Critical,25-11-2025 02:28,25-11-2025 19:56,17.48,Closed
INC-2025-0169,Backup Failure,Active Directory,Sales,Data Center A,Medium,10-08-2025 16:58,12-08-2025 11:41,42.72,Resolved
INC-2025-0170,Failed Patch Deployment,Active Directory,Marketing,Data Center B,Medium,26-05-2025 02:16,29-05-2025 05:25,75.16,Closed
INC-2025-0171,Stale User Account Active,Office 365,Finance,Data Center A,Low,31-10-2025 18:09,01-11-2025 17:39,23.51,Closed
INC-2025-0172,Backup Failure,Workday HRMS,Finance,Head Office,Medium,11-02-2025 01:41,11-02-2025 09:03,7.38,Resolved
INC-2025-0173,Stale User Account Active,AWS Cloud Infrastructure,Finance,Data Center B,High,29-05-2025 20:19,31-05-2025 11:31,39.2,Closed
INC-2025-0174,Data Leakage Alert,Active Directory,Finance,Remote Branch,High,05-09-2025 14:13,05-09-2025 17:56,3.72,Closed
INC-2025-0175,Unpatched Server,AWS Cloud Infrastructure,Engineering,Cloud Instance,Critical,21-09-2025 17:06,22-09-2025 08:10,15.08,Closed
INC-2025-0176,Backup Failure,AWS Cloud Infrastructure,Engineering,Data Center B,Medium,03-08-2025 07:55,05-08-2025 00:13,40.3,Resolved
INC-2025-0177,Weak Password Policy Violation,AWS Cloud Infrastructure,HR,Remote Branch,High,13-09-2025 09:31,16-09-2025 07:13,69.71,Closed
INC-2025-0178,Unauthorized Access Attempt,SAP ERP,,Cloud Instance,Critical,11-09-2025 19:56,12-09-2025 22:43,26.79,Resolved
INC-2025-0179,Stale User Account Active,Salesforce CRM,HR,Cloud Instance,High,26-07-2025 11:02,27-07-2025 07:18,20.27,Closed
INC-2025-0180,Backup Failure,AWS Cloud Infrastructure,Sales,Data Center B,Critical,24-05-2025 19:43,24-05-2025 23:01,3.31,Closed
INC-2025-0181,Backup Failure,Salesforce CRM,Sales,Data Center A,High,12-04-2025 19:32,12-04-2025 20:31,0.99,Closed
INC-2025-0182,Unpatched Server,AWS Cloud Infrastructure,Sales,Data Center B,Critical,21-09-2025 04:20,21-09-2025 13:32,9.2,Resolved
INC-2025-0183,Weak Password Policy Violation,Salesforce CRM,Sales,Data Center B,High,30-09-2025 15:45,01-10-2025 07:12,15.46,Closed
INC-2025-0184,Failed Patch Deployment,Office 365,Operations,Head Office,Medium,02-11-2025 15:16,,,Open
INC-2025-0185,Weak Password Policy Violation,SAP ERP,Marketing,Remote Branch,Critical,29-03-2025 16:40,31-03-2025 04:25,35.76,Closed
INC-2025-0186,Unauthorized Access Attempt,Internal Database,Sales,Data Center A,Critical,10-01-2025 14:20,11-01-2025 03:06,12.78,Closed
INC-2025-0187,Backup Failure,Workday HRMS,Operations,Head Office,Medium,12-03-2025 16:13,18-03-2025 22:53,150.67,Closed
INC-2025-0188,Failed Patch Deployment,Office 365,Operations,Data Center B,Low,01-07-2025 21:49,03-07-2025 01:13,27.4,Resolved
INC-2025-0189,Weak Password Policy Violation,Salesforce CRM,HR,Cloud Instance,Medium,26-04-2025 09:49,26-04-2025 15:23,5.57,Closed
INC-2025-0190,Failed Patch Deployment,Internal Database,Legal,Cloud Instance,Medium,04-03-2025 18:43,07-03-2025 00:59,54.27,Closed
INC-2025-0191,Unauthorized Access Attempt,Salesforce CRM,HR,Cloud Instance,High,10-02-2025 11:59,10-02-2025 19:05,7.11,Closed
INC-2025-0192,Failed Patch Deployment,Internal Database,Sales,Data Center A,Medium,25-02-2025 19:47,26-02-2025 02:26,6.66,Closed
INC-2025-0193,Data Leakage Alert,SAP ERP,Finance,Cloud Instance,High,30-08-2025 03:43,30-08-2025 04:13,0.5,Resolved
INC-2025-0194,Stale User Account Active,AWS Cloud Infrastructure,Operations,Data Center A,Critical,28-05-2025 10:18,30-05-2025 19:33,57.25,Closed
INC-2025-0195,Unauthorized Access Attempt,Workday HRMS,Marketing,Data Center A,Critical,02-08-2025 05:59,08-08-2025 02:48,140.83,Resolved
INC-2025-0196,Unauthorized Access Attempt,Salesforce CRM,Legal,Head Office,Critical,02-06-2025 18:38,06-06-2025 20:24,97.78,Closed
